,country,founded,id,industry,linkedin_url,locality,name,region,size,website
81057,australia,,elders-insurance,insurance,linkedin.com/company/elders-insurance,adelaide,elders insurance,south australia,501-1000,eldersinsurance.com.au
83232,australia,2009.0,city-venue-management,recreational facilities and services,linkedin.com/company/city-venue-management,miami,city venue management,queensland,501-1000,cityvenuemanagement.com.au
83856,australia,,surfsidebuslines,transportation/trucking/railroad,linkedin.com/company/surfsidebuslines,,surfside buslines,,201-500,surfside.com.au
84256,australia,2004.0,aacds,higher education,linkedin.com/company/aacds,,australasian academy of cosmetic dermal science (aacds) - rto 51373,,201-500,aacds.edu.au
84924,australia,2015.0,patience-community-services,non-profit organization management,linkedin.com/company/patience-community-services,,patience community services,,201-500,patiencecs.org.au
85000,australia,2020.0,brainys,information technology and services,linkedin.com/company/brainys,,brainy solutions,queensland,201-500,brainys.ai
85726,australia,1985.0,australian-sports-commission,sports,linkedin.com/company/australian-sports-commission,canberra,australian sports commission,act,501-1000,ausport.gov.au
86259,australia,1977.0,scalzo-foods,food & beverages,linkedin.com/company/scalzo-foods,melbourne,scalzo food industries,victoria,201-500,scalzofoods.com.au
87608,australia,1967.0,knoxbrooke-ltd,non-profit organization management,linkedin.com/company/knoxbrooke-ltd,,knoxbrooke incorporated,,201-500,knoxbrooke.com.au
88131,australia,2007.0,alpha-corporate-property-services-pty-ltd,facilities services,linkedin.com/company/alpha-corporate-property-services-pty-ltd,,alpha corporate property services pty ltd,victoria,501-1000,alphacps.com.au
88353,new zealand,,nzx,financial services,linkedin.com/company/nzx,,nzx limited,wellington,201-500,nzx.com
89331,australia,1989.0,city-of-kalgoorlie-boulder,government administration,linkedin.com/company/city-of-kalgoorlie-boulder,,city of kalgoorlie-boulder,,201-500,kalbould.wa.gov.au
89949,australia,,luxury-escapes,"leisure, travel & tourism",linkedin.com/company/luxury-escapes,south melbourne,luxury escapes,victoria,201-500,luxuryescapes.com
90892,australia,2000.0,eden-brae-homes,construction,linkedin.com/company/eden-brae-homes,,eden brae homes,,201-500,edenbraehomes.com.au
91205,australia,1964.0,ubt-australia-and-new-zealand,management consulting,linkedin.com/company/ubt-australia-and-new-zealand,,ubt australia and new zealand,,201-500,universalbusinessteam.com
92773,australia,,al-taqwa-college,education management,linkedin.com/company/al-taqwa-college,truganina,al-taqwa college,victoria,201-500,al-taqwa.vic.edu.au
93130,australia,,ammtec-ltd,mining & metals,linkedin.com/company/ammtec-ltd,,ammtec ltd,,201-500,ammtec.com.au
93178,australia,2002.0,seagrass-boutique-hospitality-group,hospitality,linkedin.com/company/seagrass-boutique-hospitality-group,rhodes,seagrass boutique hospitality group,new south wales,1001-5000,seagrassbhg.com
93920,australia,1995.0,greythornaustralia,staffing and recruiting,linkedin.com/company/greythornaustralia,,"greythorn australia, an experis company",,201-500,greythorn.com.au
94146,australia,1991.0,hse-mining,mining & metals,linkedin.com/company/hse-mining,newstead,hse mining,queensland,501-1000,hsemining.com.au
94490,australia,1881.0,van-laack-australia-holding,retail,linkedin.com/company/van-laack-australia-holding,melbourne,van laack australia holding,victoria,201-500,vanlaack.com
94609,australia,1986.0,the-ville-resort-casino,gambling & casinos,linkedin.com/company/the-ville-resort-casino,,the ville resort-casino,queensland,201-500,the-ville.com.au
97780,australia,,independent-oil-tools,oil & energy,linkedin.com/company/independent-oil-tools,,independent oil tools,,201-500,iotservices.com.au
